basisOfRecord,commonName,country,county,decimalLatitude,decimalLongitude,eventDate,family,genus,habitat,locality,month,occurrenceRemarks,order,phylum,recordedBy,recordId,references,scientificName,specificEpithet,state,taxonID,year,day
PreservedSpecimen,Yarrow,United States,McCurtain,34.02923,-94.63407,6/7/1955,Asteraceae,Achillea,,Broken Bow; 6 mi E,6,,Asterales,Magnoliophyta,Lothar Hornuff,urn:uuid:c1337681-f875-4380-a7c5-9bdcd2f20b23,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22475707,Achillea millefolium subsp. lanulosa,millefolium,Oklahoma,11102,1955,7
PreservedSpecimen,Yarrow,United States,Grant,36.69056,-97.54707,5/8/1968,Asteraceae,Achillea,Upland prairie pasture. Sandy; sandstone soil.,Lamont; 0.5 mi E,5,,Asterales,Magnoliophyta,Steve Stephens,urn:uuid:d57a5043-12c8-4734-b142-142546b6a1a7,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22479504,Achillea millefolium subsp. lanulosa,millefolium,Oklahoma,11102,1968,8
PreservedSpecimen,Yarrow,United States,Payne,36.11556,-97.09397,6/5/1946,Asteraceae,Achillea,Sandy clay loam soil,Stillwater; 2 mi W,6,,Asterales,Magnoliophyta,Paul E Elder,urn:uuid:5ece5203-92c6-4dc1-9c1f-7b439866d9a7,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22481773,Achillea millefolium subsp. lanulosa,millefolium,Oklahoma,11102,1946,5
PreservedSpecimen,Yarrow,United States,Kay,36.80438,-97.40023,5/27/1974,Asteraceae,Achillea,Low; roadside right of way. Sandy soil.,Blackwell; 6.5 mi W,5,Abundant,Asterales,Magnoliophyta,Steve Stephens,urn:uuid:b1c54901-8ff7-4bde-b6ab-2c77da1ac867,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22487374,Achillea millefolium subsp. lanulosa,millefolium,Oklahoma,11102,1974,27
PreservedSpecimen,Yarrow,United States,Kingfisher,36.10908,-97.75471,5/26/1974,Asteraceae,Achillea,Prairie roadside right of way. Sandy soil.,Hennessey; 8 mi E,5,Common.,Asterales,Magnoliophyta,Steve Stephens,urn:uuid:d797b4ec-d9d0-48eb-a7cb-cea0224040f6,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22488499,Achillea millefolium subsp. lanulosa,millefolium,Oklahoma,11102,1974,26
PreservedSpecimen,Yarrow,United States,Woods,36.9138,-98.91667,6/4/1983,Asteraceae,Achillea,Roadside ditch.,Cora; 8 mi N,6,Only seven plants,Asterales,Magnoliophyta,Ronald L McGregor,urn:uuid:8b306fec-4bb2-4837-84a5-6a5b28b0ecc9,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22498547,Achillea millefolium subsp. lanulosa,millefolium,Oklahoma,11102,1983,4
PreservedSpecimen,Yarrow,United States,Grant,36.606,-97.58861,5/27/1974,Asteraceae,Achillea,Prairie roadside right of way. Red; sandy soil.,Salt Fork; 2 mi S,5,Abundant.,Asterales,Magnoliophyta,Steve Stephens,urn:uuid:1fdc2a6b-35f0-4cf3-b519-2d0312ee776b,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22508160,Achillea millefolium subsp. lanulosa,millefolium,Oklahoma,11102,1974,27
PreservedSpecimen,Yarrow,United States,Caddo,35.03868,-98.36556,5/11/1968,Asteraceae,Achillea,Prairie pasture hilltop. Sandy; rocky red soil.,Apache; 10 mi N,5,,Asterales,Magnoliophyta,Steve Stephens,urn:uuid:9e3b3667-f124-4de1-a976-3b689c9f95f5,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22527018,Achillea millefolium subsp. lanulosa,millefolium,Oklahoma,11102,1968,11
PreservedSpecimen,Yarrow,United States,Sequoyah,35.616482,-95.061791,5/25/1958,Asteraceae,Achillea,Open oak-hickory woods.,Strayhorn Landing of Tenkiller Lake; 6 mi NE of Gore on State 100,5,,Asterales,Magnoliophyta,Charles S Wallis,urn:uuid:8dfe3027-b334-4a0e-8499-38757d0ead0f,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22531501,Achillea millefolium subsp. lanulosa,millefolium,Oklahoma,11102,1958,25
PreservedSpecimen,Yarrow,United States,Osage,36.69498,-96.80402,5/27/1974,Asteraceae,Achillea,Upland prairie. Red; sandy soil,Burbank; 4 mi W,5,Abundant,Asterales,Magnoliophyta,Steve Stephens,urn:uuid:648e3bef-0ac9-4c23-bb70-d1535cd42f2b,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22660330,Achillea millefolium subsp. lanulosa,millefolium,Oklahoma,11102,1974,27
